iter	MultiClass
190	0.2710180729
191	0.270322846
192	0.2690640152
193	0.2679476137
194	0.2669632556
195	0.2661901072
196	0.2653330521
197	0.2641283134
198	0.2631531615
199	0.2620155562
200	0.2613479632
201	0.2603175476
202	0.2596595556
203	0.2586091113
204	0.2577068214
205	0.2570587687
206	0.2558967815
207	0.2551475958
208	0.254135439
209	0.2537193307
210	0.2531467781
211	0.2523187995
212	0.2515556028
213	0.250860657
214	0.2500418215
215	0.249032825
216	0.248352442
217	0.2477319412
218	0.2473629991
219	0.2466486486
220	0.2456450629
221	0.2449251338
222	0.2440568443
223	0.2435726841
224	0.2426554349
225	0.2419908611
226	0.2411182991
227	0.2399809333
228	0.2388884145
229	0.238027045
230	0.2372440426
231	0.2363078243
232	0.2354802821
233	0.234845371
234	0.2343217488
235	0.2335404148
236	0.2327782695
237	0.2320486406
238	0.2312557632
239	0.2306084163
240	0.2297312144
241	0.2289397775
242	0.2280345898
243	0.2272691059
244	0.2267188851
245	0.2258266767
246	0.2253413267
247	0.2246541488
248	0.2241485988
249	0.2233563001
250	0.2225845331
251	0.221709224
252	0.2210942169
253	0.2204204572
254	0.2200652251
255	0.2195587665
256	0.2189094214
257	0.2181489619
258	0.217404332
259	0.2165709204
260	0.215845602
261	0.2153320756
262	0.2148403762
263	0.214388031
264	0.2137347094
265	0.2128692014
266	0.2122496898
267	0.2118130969
268	0.2113687992
269	0.2110051412
270	0.210213825
271	0.2097800046
272	0.2091671197
273	0.2085280103
274	0.207953763
275	0.2071106797
276	0.2066540833
277	0.2062591131
278	0.2057069134
279	0.2052718399
280	0.2046190562
281	0.204011567
282	0.2034545793
283	0.2028620885
284	0.2024974051
285	0.2016195632
286	0.2006808804
287	0.20021778
288	0.1994113409
289	0.1989447531
290	0.1983983131
291	0.1976899883
292	0.1973048432
293	0.1968775856
294	0.1961739394
295	0.1956840402
296	0.1952877013
297	0.1947287012
298	0.1941755691
299	0.1934994159
300	0.1929807371
301	0.1926462058
302	0.192365798
303	0.1920649695
304	0.1916416125
305	0.1909881019
306	0.1905068946
307	0.190214543
308	0.1895997062
309	0.1890181163
310	0.1885204382
311	0.1880992212
312	0.1876945695
313	0.1869896814
314	0.1863937858
315	0.1858389639
316	0.1854775688
317	0.1849168107
318	0.1845768251
319	0.1841337697
320	0.1835735256
321	0.1828824459
322	0.1823807911
323	0.1818742359
324	0.1813023835
325	0.1805826784
326	0.1801060619
327	0.1796632362
328	0.1792603338
329	0.1789110917
330	0.1782241173
331	0.1776805963
332	0.1771772833
333	0.1764128892
334	0.175684243
335	0.1754648777
336	0.175023149
337	0.1747591962
338	0.1745582207
339	0.174095179
340	0.1735206264
341	0.1731717838
342	0.1726112802
343	0.1721126436
344	0.1716451122
345	0.1712015838
346	0.1707756766
347	0.1705291298
348	0.1701292917
349	0.169702481
350	0.169429802
351	0.1689354515
352	0.168371771
353	0.1681105763
354	0.16776113
355	0.16723757
356	0.1667183678
357	0.1664863265
358	0.1660642732
359	0.1655770642
360	0.1653508127
361	0.1647773467
362	0.1643921727
363	0.1639121169
364	0.163557973
365	0.1632989124
366	0.1629196435
367	0.1624607845
368	0.1620596039
369	0.161463149
370	0.1610305101
371	0.1607074464
372	0.1603976808
373	0.1599907489
374	0.1596823803
375	0.1592842609
376	0.1591038037
377	0.1588447815
378	0.1584374685
379	0.1581714291
380	0.1576883704
381	0.1571035068
382	0.1567683847
383	0.1563892849
384	0.1560482805
385	0.1555522684
386	0.1551934826
387	0.154848729
388	0.1542886869
389	0.1539898234
390	0.1535534794
391	0.1532144931
392	0.1530335545
393	0.1525956116
394	0.1522112409
395	0.1517869841
396	0.1514719631
397	0.1510666951
398	0.1507364514
399	0.1503486849
400	0.1500035264
401	0.149768668
402	0.1494152419
403	0.1491687326
404	0.1488577737
405	0.1484943037
406	0.1480661244
407	0.1479054886
408	0.1473455024
409	0.1470829884
410	0.1468297226
411	0.1464905578
412	0.1462040207
413	0.1459039006
414	0.1456302032
415	0.1453048768
416	0.1449767738
417	0.144715016
418	0.1444791892
419	0.1441633639
420	0.1439310167
421	0.1436945369
422	0.1434605938
423	0.1430311695
424	0.1427473925
425	0.1424549351
426	0.1421459153
427	0.1418889371
428	0.1416714927
429	0.1413514427
430	0.1409152234
431	0.14063867
432	0.1404191159
433	0.1401324219
434	0.139863656
435	0.1395731715
436	0.1393511463
437	0.1389610333
438	0.1387009189
439	0.1383786599
440	0.1381701808
441	0.1378765785
442	0.1376649353
443	0.1373262996
444	0.1370395355
445	0.1366885859
446	0.1364187005
447	0.1361654086
448	0.135883591
449	0.1356495207
450	0.1355103175
451	0.1352183367
452	0.1348996301
453	0.1345014328
454	0.1342499891
455	0.1339885769
456	0.1337661375
457	0.1335753869
458	0.1333060776
459	0.1330413526
460	0.1328957847
461	0.1325272534
462	0.1323711124
463	0.1321243053
464	0.131909394
465	0.1317199314
466	0.1314649442
467	0.1312064662
468	0.1309023189
469	0.1307010866
470	0.1305090514
471	0.1301591438
472	0.12993116
473	0.1297644745
474	0.1294490435
475	0.1290423195
476	0.1288033874
477	0.1284835658
478	0.1281912887
479	0.1279267003
480	0.1275721931
481	0.127445373
482	0.1272279671
483	0.1270497458
484	0.1268091361
485	0.1264403287
486	0.126062308
487	0.1257060731
488	0.1253715767
489	0.1252036504
490	0.1248507898
491	0.124576978
492	0.1242761312
493	0.1240940866
494	0.123739647
495	0.1234464778
496	0.1232396227
497	0.1230856109
498	0.1229560303
499	0.1227040323
500	0.122369837
501	0.1222153793
502	0.1219521583
503	0.12175215
504	0.1214368191
505	0.1212441234
506	0.1211249014
507	0.1208595264
508	0.1205677552
509	0.1201570998
510	0.1199948517
511	0.1198842753
512	0.1194365517
513	0.1191943042
514	0.1190519356
515	0.1188870589
516	0.1186569684
517	0.1184366507
518	0.1181996483
519	0.1180086742
520	0.1177261556
521	0.1174950451
522	0.1172552174
523	0.117072797
524	0.1168942631
525	0.1166304464
526	0.1163716239
527	0.1161629795
528	0.1158950958
529	0.115701925
530	0.1154031764
531	0.1150835988
532	0.1148971577
533	0.1147559971
534	0.1145074762
535	0.1143349094
536	0.1142467083
537	0.1140935793
538	0.1139067533
539	0.1137571619
540	0.1135508431
541	0.1132987429
542	0.1131279728
543	0.1128173548
544	0.1125894861
545	0.1123833224
546	0.1121580083
547	0.112008521
548	0.111704939
549	0.1114422105
550	0.1111248146
551	0.110889005
552	0.1106990026
553	0.1105019979
554	0.1102326471
555	0.1100355506
556	0.1098353056
557	0.1096070823
558	0.1093595951
559	0.1091658457
560	0.1090440141
561	0.108797546
562	0.1086568179
563	0.108373969
564	0.1081564952
565	0.107940578
566	0.1076971961
567	0.107420565
568	0.1072573599
569	0.1070808647
570	0.1068941621
571	0.1067617432
572	0.1066062369
573	0.1064623862
574	0.1062648393
575	0.1059173385
576	0.1057263357
577	0.1055898033
578	0.1054784333
579	0.1052721623
580	0.1051074015
581	0.1049345574
582	0.1047982734
583	0.1045965323
584	0.1044169076
585	0.104271482
586	0.1041022344
587	0.1039141277
588	0.1036377979
589	0.103427516
590	0.1031857795
591	0.1030303657
592	0.1028416277
593	0.1026577202
594	0.1025044214
595	0.1023370765
596	0.1020912749
597	0.10188961
598	0.101685953
599	0.101534981
600	0.1013820506
601	0.1011666739
602	0.1010211606
603	0.1007960477
604	0.1006047665
605	0.1003930581
606	0.1002239435
607	0.1000442188
608	0.09987912119
609	0.09962621201
610	0.09943924973
611	0.09925939773
612	0.09915003204
613	0.09903302116
614	0.09886899285
615	0.09876073954
616	0.0986550065
617	0.09857872024
618	0.09845115329
619	0.09824015745
620	0.09817202589
621	0.09794359878
622	0.09781781344
623	0.09768122316
624	0.09747399988
625	0.09731545892
626	0.09718871234
627	0.0970376483
628	0.09688170841
629	0.09674595685
630	0.0965339097
631	0.09643764299
632	0.09628725492
633	0.09602790508
634	0.09582753475
635	0.09565146442
636	0.09556923271
637	0.09533758498
638	0.09525205722
639	0.09507446129
640	0.09491858504
641	0.0947970582
642	0.09455948079
643	0.0944219985
644	0.09427950369
645	0.09420349068
646	0.09402336697
647	0.0938787633
648	0.09371988883
649	0.09359531855
650	0.09339799932
651	0.09318115974
652	0.09305620886
653	0.09290604376
654	0.09272949962
655	0.09262507733
656	0.09237768213
657	0.09224001953
658	0.09206017095
659	0.09189149928
660	0.09181276066
661	0.091657399
662	0.09148888028
663	0.09139469959
664	0.09126801126
665	0.09111783132
666	0.09103776199
667	0.09089519774
668	0.09081516971
669	0.09070011148
670	0.09060333003
671	0.09052752097
672	0.09034222311
673	0.0902423845
674	0.09009775109
675	0.08997022902
676	0.08987153581
677	0.08973965853
678	0.08964203407
679	0.08950759932
680	0.08940472287
681	0.08920592746
682	0.08914689342
683	0.08901798732
684	0.08889528581
685	0.08872672139
686	0.08850873161
687	0.08837482961
688	0.08822451475
689	0.08802432142
690	0.08792141548
691	0.08779124399
692	0.08766563819
693	0.08754653754
694	0.08740127595
695	0.08724630729
696	0.08714485244
697	0.08697792539
698	0.08678582956
699	0.08670272765
700	0.0866531199
701	0.08650935835
702	0.08636460068
703	0.08624098681
704	0.08606306735
705	0.08594654864
706	0.085789388
707	0.08566918827
708	0.08552511361
709	0.08536397431
710	0.08525872997
711	0.0850924052
712	0.08496184626
713	0.08485858982
714	0.08469646966
715	0.08458713961
716	0.08452450928
717	0.08431982062
718	0.08415538125
719	0.0841180313
720	0.08398534924
721	0.08382010836
722	0.08370338329
723	0.08349337295
724	0.08330599517
725	0.0832246027
726	0.08302647489
727	0.0828650659
728	0.08272315761
729	0.08263609137
730	0.08250718729
731	0.0824008821
732	0.08219764093
733	0.08211972021
734	0.08196647917
735	0.08180150689
736	0.08170146236
737	0.08160893112
738	0.08154483581
739	0.08147117048
740	0.08128305268
741	0.08119242778
742	0.08104814921
743	0.08096209818
744	0.08086787514
745	0.08077546565
746	0.08068832611
747	0.08058159187
748	0.08041878654
749	0.0802739601
750	0.08010342375
751	0.07998933932
752	0.07980121827
753	0.07973988271
754	0.07961911626
755	0.07951347412
756	0.07933446554
757	0.07916672456
758	0.07905727395
759	0.07894403021
760	0.07887355216
761	0.07876989799
762	0.07862000115
763	0.07851341216
764	0.07844284867
765	0.07831177186
766	0.07819952158
767	0.07813421068
768	0.07801734249
769	0.07790396961
770	0.07775699963
771	0.07762845231
772	0.07751545525
773	0.07740182325
774	0.07729488681
775	0.07718392775
776	0.07704264017
777	0.07694090453
778	0.07687904284
779	0.07673488207
780	0.07665373758
781	0.07647320675
782	0.07635778995
783	0.07622984463
784	0.07610333639
785	0.07595652015
786	0.07586278764
787	0.07576245777
788	0.07568863646
789	0.07558942518
790	0.07548747387
791	0.0754115105
792	0.07531741849
793	0.075242321
794	0.07514741154
795	0.07501700991
796	0.07496206306
797	0.07485293469
798	0.07481462496
799	0.07473269813
800	0.07468665564
801	0.07460064858
802	0.07453877161
803	0.07445964687
804	0.07438709861
805	0.07424627161
806	0.07412914217
807	0.07393632865
808	0.07378964028
809	0.07361584647
810	0.07351952527
811	0.07342318063
812	0.0732756386
813	0.07319997845
814	0.07307048467
815	0.07300397999
816	0.0729408142
817	0.07285890988
818	0.07276163359
819	0.07263432097
820	0.07253561321
821	0.07244087566
822	0.07235099261
823	0.07224704782
824	0.07219435798
825	0.07213308891
826	0.07205930827
827	0.0719677183
828	0.07180893547
829	0.07169200101
830	0.07159350252
831	0.07152658536
832	0.07143460225
833	0.07128868917
834	0.07123260393
835	0.07102480949
836	0.07088395807
837	0.07079292051
838	0.07067350144
839	0.07059909341
840	0.07049280353
841	0.07039634584
842	0.07034135397
843	0.07027166419
844	0.070158557
845	0.07006729862
846	0.06996269691
847	0.06977573098
848	0.06964802689
849	0.06950477816
850	0.06942994949
851	0.06930680253
852	0.06917101767
853	0.06905733613
854	0.06896281499
855	0.06887178534
856	0.06875794744
857	0.06869205408
858	0.0686390435
859	0.06856905142
860	0.06848647483
861	0.06836466878
862	0.06826714307
863	0.06818080761
864	0.06813056206
865	0.06801587126
866	0.06794246293
867	0.06787699463
868	0.06781080882
869	0.06768314283
870	0.06755495845
871	0.06748248137
872	0.06741601477
873	0.06734635191
874	0.06728252513
875	0.06720380418
876	0.06707468207
877	0.06700551235
878	0.06688445325
879	0.06677050334
880	0.06671571417
881	0.06667190305
882	0.06658170732
883	0.06651770527
884	0.06644764968
885	0.06634049358
886	0.06627887665
887	0.0661519458
888	0.06606245837
889	0.06593196123
890	0.06586347065
891	0.06576648833
892	0.06569677862
893	0.06561127411
894	0.06550049988
895	0.06540580316
896	0.06532722997
897	0.06525163386
898	0.06510090045
899	0.06501155896
900	0.06492726279
901	0.06485989996
902	0.06478923788
903	0.06472310298
904	0.06464394857
905	0.06457529507
906	0.06446186613
907	0.06439020068
908	0.06433292443
909	0.0642457201
910	0.06412052117
911	0.0640688948
912	0.06398607013
913	0.06388792158
914	0.06378684842
915	0.06371427517
916	0.06361484797
917	0.06355538464
918	0.0634222629
919	0.06333687929
920	0.06325653559
921	0.06314703911
922	0.06305074217
923	0.06296703814
924	0.06287041046
925	0.0627917098
926	0.06270736547
927	0.06266296399
928	0.06260264286
929	0.06250139072
930	0.06239124422
931	0.06231200693
932	0.06223386577
933	0.06216990641
934	0.06210491681
935	0.06205460022
936	0.06200138332
937	0.06190230307
938	0.06182788347
939	0.06175497868
940	0.06165099543
941	0.06155632046
942	0.06145520087
943	0.06140366178
944	0.06129523464
945	0.06124672509
946	0.06119933143
947	0.06112608979
948	0.0610881198
949	0.06101367918
950	0.06096653794
951	0.06089167195
952	0.06082667022
953	0.06077990241
954	0.06071701173
955	0.06063123558
956	0.06057598248
957	0.06045508873
958	0.06034676306
959	0.06028664748
960	0.06019139872
961	0.0601330786
962	0.06009866081
963	0.06004556904
964	0.06000710432
965	0.05994786302
966	0.05987868289
967	0.05979436873
968	0.05973670699
969	0.05970101897
970	0.05964762937
971	0.0595856832
972	0.05953509145
973	0.05942067564
974	0.05934192689
975	0.05924525028
976	0.05914496298
977	0.05903904464
978	0.05897258117
979	0.05889102961
980	0.05879469263
981	0.05872245064
982	0.05865771665
983	0.05861608158
984	0.05853268171
985	0.05846460858
986	0.05837851177
987	0.05831357721
988	0.05822335047
989	0.05817581885
990	0.05810017906
991	0.0580078633
992	0.05791757756
993	0.05782762339
994	0.05770437192
995	0.05763776802
996	0.05751462157
997	0.05744340248
998	0.0573596182
999	0.05733064156
